1 Det 1783
1 Pron 1773
1 Punc 9137
1 Conj 1950
1 END 4997
1 Zero 2
1 Dup 11
1 Interj 75
1 Num 561
1 Adj 4565
1 START 4997
1 Postp 1020
1 Noun 17717
1 Ques 188
1 Adv 2673
1 Verb 6150
2 Punc Adj 337
2 Postp Adv 24
2 Punc Postp 127
2 Interj Adj 1
2 Adj Adj 405
2 Verb Num 16
2 Postp Conj 5
2 Pron Verb 175
2 Punc Det 5
2 Adj Num 64
2 Verb Noun 3370
2 Num Num 33
2 Punc Ques 107
2 Postp Punc 103
2 Det Dup 1
2 Punc Zero 2
2 Det Pron 57
2 Pron Punc 287
2 Noun Ques 21
2 Noun Adv 671
2 Pron START 530
2 Dup Punc 3
2 Noun Conj 793
2 Verb Ques 26
2 Adj Interj 2
2 Zero Noun 2
2 Verb Pron 347
2 Verb Det 71
2 Noun Adj 2713
2 Det Det 3
2 Noun Num 405
2 Interj Conj 5
2 Adj Conj 247
2 Pron Postp 41
2 Noun Noun 6147
2 Conj Pron 129
2 Postp START 9
2 Adj Dup 1
2 Dup START 3
2 Ques Adj 20
2 Noun Pron 523
2 Adj Pron 133
2 Num Punc 77
2 Adv Postp 59
2 Conj Adj 136
2 Postp Postp 5
2 Verb Adj 240
2 Pron Det 7
2 Noun Punc 1809
2 Conj Det 6
2 Verb START 371
2 Adv Noun 1070
2 Interj Verb 7
2 Interj Postp 1
2 Verb Postp 251
2 END Noun 1
2 Conj Postp 32
2 Verb Dup 4
2 Noun Interj 19
2 Noun Verb 489
2 Conj Interj 2
2 Det Punc 220
2 Det Conj 105
2 Punc Num 25
2 Conj Verb 263
2 Interj Noun 7
2 Dup Noun 4
2 Adj START 504
2 Conj Adv 121
2 Noun Dup 3
2 Punc Conj 234
2 Adv Adv 236
2 Interj START 34
2 Ques Noun 44
2 Adv Conj 111
2 Adj Ques 6
2 Adv Verb 134
2 Postp Num 1
2 Punc Interj 36
2 Punc START 104
2 Conj Num 8
2 Ques Verb 101
2 Ques Pron 6
2 Adv Punc 296
2 Conj Punc 132
2 Dup Adv 1
2 Det Verb 70
2 Conj Noun 856
2 END Punc 4996
2 Verb Punc 504
2 Pron Adj 35
2 Adv Det 12
2 Noun Det 1534
2 Num Pron 17
2 Det Adv 115
2 Postp Noun 679
2 Punc Punc 183
2 Noun Postp 300
2 Num Noun 179
2 Det Noun 362
2 Ques Postp 3
2 Punc Pron 259
2 Interj Punc 20
2 Pron Pron 92
2 Num Det 9
2 Punc Noun 2726
2 Pron Ques 15
2 Pron Adv 101
2 Det START 323
2 Noun START 2290
2 Adj Postp 137
2 Adv Ques 8
2 Num Conj 33
2 Pron Conj 139
2 Adj Verb 86
2 Postp Pron 69
2 Conj START 215
2 Adj Noun 1922
2 Punc Verb 4600
2 Ques Adv 11
2 Num Adv 28
2 Conj Ques 4
2 Det Adj 481
2 Verb Interj 9
2 Pron Interj 3
2 Num Verb 4
2 Punc Adv 390
2 Adv Adj 77
2 Postp Adj 56
2 Pron Noun 348
2 Adv START 516
2 Ques Conj 3
2 Postp Det 12
